Date,Market_value (1000 million)
2019-01-01,153.38
2019-01-02,159.01
2019-01-03,170.19
2019-01-04,170.92000000000004
2019-01-05,158.82000000000002
2019-01-06,162.78
2019-01-07,162.97
2019-01-08,177.36
2019-01-09,163.84
2019-01-10,148.85
2019-01-11,147.26
2019-01-12,158.97000000000003
2019-01-13,154.70999999999998
2019-01-14,146.21
2019-01-15,158.26
2019-01-16,146.12
2019-01-17,158.33
2019-01-18,145.89000000000001
2019-01-19,149.13000000000002
2019-01-20,155.22999999999996
2019-01-21,142.55
2019-01-22,155.60999999999999
2019-01-23,143.00000000000003
2019-01-24,155.87999999999997
2019-01-25,155.10999999999999
2019-01-26,143.79000000000002
2019-01-27,152.81999999999996
2019-01-28,134.82
2019-01-29,134.45999999999998
2019-01-30,159.92
2019-01-31,135.19
2019-02-01,147.17000000000002
2019-02-02,136.81
2019-02-03,136.19
2019-02-04,135.89
2019-02-05,135.12
2019-02-06,133.54
2019-02-07,144.26000000000005
2019-02-08,140.71
2019-02-09,144.35
2019-02-10,143.67
2019-02-11,143.73999999999998
2019-02-12,155.95
2019-02-13,143.56
2019-02-14,142.86999999999998
2019-02-15,143.29
2019-02-16,155.92
2019-02-17,145.3
2019-02-18,154.77
2019-02-19,184.91000000000003
2019-02-20,159.42999999999998
2019-02-21,170.83999999999997
2019-02-22,160.05
2019-02-23,165.73
2019-02-24,158.23000000000002
2019-02-25,155.97
2019-02-26,181.29
2019-02-27,168.20999999999998
2019-02-28,155.17
2019-03-01,155.68
2019-03-02,168.31000000000003
2019-03-03,155.04999999999998
2019-03-04,176.00000000000003
2019-03-05,168.69
2019-03-06,171.02999999999997
2019-03-07,159.06
2019-03-08,158.50999999999996
2019-03-09,159.9
2019-03-10,159.23000000000002
2019-03-11,157.92
2019-03-12,173.7
2019-03-13,160.31
2019-03-14,160.94
2019-03-15,191.66
2019-03-16,166.75000000000003
2019-03-17,166.67000000000002
2019-03-18,166.17000000000002
2019-03-19,167.13999999999996
2019-03-20,182.16000000000003
2019-03-21,166.82999999999998
2019-03-22,167.08999999999997
2019-03-23,167.8
2019-03-24,167.91
2019-03-25,165.94000000000003
2019-03-26,165.82999999999998
2019-03-27,184.14000000000001
2019-03-28,170.65
2019-03-29,173.33000000000004
2019-03-30,174.64000000000001
2019-03-31,176.59
2019-04-01,179.76000000000002
2019-04-02,200.67999999999998
2019-04-03,210.32999999999996
2019-04-04,222.75000000000003
2019-04-05,210.13
2019-04-06,230.73999999999998
2019-04-07,217.99999999999997
2019-04-08,218.06
2019-04-09,235.35
2019-04-10,218.63
2019-04-11,222.91000000000003
2019-04-12,225.35999999999999
2019-04-13,208.20999999999998
2019-04-14,210.23999999999998
2019-04-15,226.85999999999999
2019-04-16,211.25000000000003
2019-04-17,214.92999999999998
2019-04-18,234.00999999999996
2019-04-19,218.19000000000003
2019-04-20,219.24999999999997
2019-04-21,215.29
2019-04-22,218.81
2019-04-23,240.88000000000002
2019-04-24,231.8
2019-04-25,227.79999999999995
2019-04-26,221.90999999999997
2019-04-27,206.37
2019-04-28,207.25
2019-04-29,203.71000000000004
2019-04-30,241.6
2019-05-01,209.35000000000002
2019-05-02,230.69000000000003
2019-05-03,239.77999999999997
2019-05-04,219.06
2019-05-05,218.17000000000004
2019-05-06,219.99999999999997
2019-05-07,223.14
2019-05-08,241.72999999999996
2019-05-09,226.20000000000002
2019-05-10,234.01000000000002
2019-05-11,274.93
2019-05-12,255.43
2019-05-13,272.95
2019-05-14,287.69000000000005
2019-05-15,325.26
2019-05-16,318.61999999999995
2019-05-17,274.58000000000004
2019-05-18,306.04999999999995
2019-05-19,298.54999999999995
2019-05-20,294.7200000000001
2019-05-21,373.53000000000003
2019-05-22,293.38
2019-05-23,315.99
2019-05-24,300.53000000000003
2019-05-25,327.23999999999995
2019-05-26,311.73999999999995
2019-05-27,328.08000000000004
2019-05-28,324.14
2019-05-29,385.04
2019-05-30,325.15000000000003
2019-05-31,639.15
2019-06-01,326.39000000000004
2019-06-02,414.52
2019-06-03,346.0999999999999
2019-06-04,301.41
2019-06-05,374.94
2019-06-06,322.95000000000005
2019-06-07,359.37
2019-06-08,330.18
2019-06-09,297.74
2019-06-10,328.82
2019-06-11,331.93999999999994
2019-06-12,314.21999999999997
2019-06-13,345.05999999999995
2019-06-14,352.17
2019-06-15,335.04
2019-06-16,342.50000000000006
2019-06-17,375.86
2019-06-18,342.97
2019-06-19,374.90000000000003
2019-06-20,440.30999999999995
2019-06-21,369.47999999999996
2019-06-22,390.55
2019-06-23,390.02
2019-06-24,394.78999999999996
2019-06-25,411.92
2019-06-26,442.88
2019-06-27,423.88
2019-06-28,407.46999999999997
2019-06-29,412.12999999999994
2019-06-30,262.96999999999997
